Університет,Кількість заяв
Київський національний університет імені Тараса Шевченка,53098
Львівський національний університет імені Івана Франка,46522
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,45421
Національний авіаційний університет,36883
Національний університет «Львівська політехніка»,35739
Харківський національний університет імені В.Н. Каразіна,30782
Київський національний торговельно-економічний університет,28121
Державний вищий навчальний заклад «Київський національний економічний університет імені Вадима Гетьмана»,23375
Київський університет імені Бориса Грінченка,17626
Національний технічний університет «Харківський політехнічний інститут»,17507
