region,mark
КИЇВ,162.6
Вінницька область,155.3
Волинська область,156.1
Дніпропетровська область,160.5
Житомирська область,153.0
Закарпатська область,154.9
Запорізька область,160.2
Івано-Франківська область,157.9
Київська область,150.4
Кіровоградська область,152.2
Львівська область,164.8
Миколаївська область,161.4
Одеська область,162.1
Полтавська область,158.6
Рівненська область,155.8
Сумська область,165.8
Тернопільська область,156.4
Харківська область,171.6
Хмельницька область,153.4
Черкаська область,152.7
Чернівецька область,160.5
Чернігівська область,163.8
